depth	count
5	4783
6	4357
7	3811
8	3357
9	2952
10	2847
11	2550
12	2691
13	2377
14	2351
15	2165
16	2034
17	2066
18	1864
19	1976
20	1716
21	1797
22	1645
23	1543
24	1709
25	1759
26	1810
27	1863
28	1836
29	1913
30	1975
31	1984
32	1978
33	2036
34	2128
35	2334
36	2533
37	2485
38	2468
39	2463
40	2691
41	2926
42	2972
43	3129
44	3275
45	3404
46	3534
47	3879
48	3964
49	4164
50	4321
51	4597
52	4778
53	5149
54	5595
55	6175
56	6411
57	7148
58	7647
59	8494
60	9031
61	9834
62	10537
63	11459
64	12558
65	13584
66	14733
67	15829
68	17214
69	18704
70	19894
71	21973
72	23317
73	25360
74	27097
75	28765
76	30845
77	32855
78	34578
79	36205
80	37712
81	39402
82	41576
83	42700
84	43529
85	45311
86	46549
87	47640
88	48810
89	49514
90	50053
91	50428
92	51881
93	51365
94	51714
95	51646
96	51220
97	51142
98	51308
99	50393
100	49907
101	49733
102	49286
103	49446
104	48908
105	48701
106	48420
107	48947
108	49116
109	48834
110	49002
111	49265
112	49695
113	50236
114	51691
115	52560
116	53160
117	54582
118	56042
119	57624
120	59495
121	61271
122	63146
123	65516
124	67345
125	70512
126	73253
127	75309
128	78020
129	80453
130	83270
131	86853
132	90414
133	95016
134	99494
135	103894
136	108775
137	114447
138	118271
139	122854
140	128894
141	134239
142	139068
143	145817
144	151401
145	158074
146	164729
147	171969
148	178966
149	186583
150	194573
151	202910
152	211965
153	220639
154	229961
155	237791
156	247378
157	257618
158	264363
159	274867
160	282868
161	292583
162	301513
163	310008
164	317509
165	326051
166	334894
167	343052
168	349998
169	356103
170	360928
171	367896
172	372818
173	376827
174	379756
175	382881
176	385633
177	386315
178	388745
179	387312
180	386689
181	386649
182	384508
183	382229
184	377004
185	372209
186	368206
187	362180
188	354331
189	346563
190	339011
191	330613
192	321505
193	311165
194	300096
195	291081
196	279522
197	267572
198	257867
199	246439
200	235577
201	223616
202	213150
203	202565
204	190676
205	180466
206	170331
207	159879
208	149616
209	140368
210	130651
211	122163
212	113151
213	105659
214	98369
215	91029
216	84348
217	78288
218	72275
219	67172
220	61773
221	57065
222	52873
223	48223
224	44854
225	40860
226	38086
227	34883
228	32213
229	30002
230	27755
231	25481
232	23864
233	22251
234	20803
235	19407
236	18500
237	17749
238	16518
239	15811
240	15000
241	14276
242	13770
243	13251
244	12681
245	12147
246	11914
247	11610
248	11416
249	11234
250	10994
251	10863
252	10475
253	10367
254	10039
255	10082
256	9780
257	9837
258	9770
259	9570
260	9530
261	9315
262	9223
263	9167
264	8943
265	9013
266	8767
267	8759
268	8778
269	8413
270	8420
271	8408
272	8294
273	8170
274	7970
275	7816
276	7633
277	7711
278	7589
279	7345
280	7394
281	7276
282	7187
283	6981
284	6926
285	6942
286	6943
287	6853
288	6747
289	6561
290	6553
291	6364
292	6307
293	6146
294	6051
295	6105
296	5927
297	5863
298	5744
299	5622
300	5535
301	5384
302	5260
303	5241
304	5170
305	5105
306	5046
307	4862
308	4897
309	4716
310	4842
311	4817
312	4601
313	4609
314	4574
315	4620
316	4445
317	4473
318	4497
319	4511
320	4433
321	4300
322	4355
323	4217
324	4209
325	4320
326	4205
327	4194
328	4172
329	4192
330	4266
331	4250
332	4166
333	4135
334	4108
335	4125
336	4056
337	3879
338	3960
339	3831
340	3856
341	3864
342	3851
343	3849
344	3876
345	3857
346	3618
347	3840
348	3670
349	3688
350	3776
351	3798
352	3774
353	3694
354	3701
355	3645
356	3639
357	3520
358	3428
359	3433
360	3394
361	3344
362	3334
363	3299
364	3307
365	3168
366	3187
367	3178
368	3184
369	3114
370	3097
371	3106
372	3076
373	2960
374	2952
375	2973
376	2969
377	2860
378	2819
379	2856
380	2775
381	2700
382	2684
383	2729
384	2540
385	2455
386	2580
387	2476
388	2538
389	2422
390	2392
391	2429
392	2321
393	2315
394	2315
395	2291
396	2203
397	2175
398	2132
399	2116
400	2040
401	2048
402	2010
403	2010
404	1979
405	1972
406	1951
407	1904
408	1876
409	1920
410	1903
411	1835
412	1819
413	1785
414	1726
415	1761
416	1636
417	1652
418	1628
419	1633
420	1589
421	1596
422	1499
423	1519
424	1535
425	1526
426	1570
427	1515
428	1522
429	1486
430	1517
431	1436
432	1477
433	1470
434	1468
435	1503
436	1447
437	1458
438	1411
439	1427
440	1447
441	1417
442	1383
443	1410
444	1371
445	1335
446	1333
447	1316
448	1378
449	1372
450	1413
451	1342
452	1354
453	1285
454	1336
455	1330
456	1362
457	1290
458	1347
459	1255
460	1235
461	1294
462	1261
463	1244
464	1289
465	1250
466	1218
467	1220
468	1199
469	1170
470	1134
471	1155
472	1170
473	1062
474	1048
475	1107
476	1054
477	1080
478	1059
479	1085
480	1038
481	1024
482	1023
483	1023
484	1030
485	990
486	967
487	974
488	980
489	963
490	956
491	1016
492	998
493	1008
494	976
495	932
496	963
497	1021
498	974
499	936
500	913
