chromosome,position,stringtie_id,remove_st,DTS_checked,WRF_checked,spliced_in_intron,isoseq_hq_id,pinfish_id,isoseq_singleton_id,manual,NCBItxome,PleuroTranscripts,augustus,gene_name,interesting,comment,Timestamp
c1,4348,,,yes,,,,d2a44d46-9637-48b1-a92a-56f50d7cf4f6,,,,,,,,mm,04/29/2020 12:49
c1,5610,B1_LR.1,y,yes,,,PB.1,,,,,,,,,,04/29/2020 15:47
c1,9246,,,y,,,,,,,,scaffold3089_1_size10808_gene_19190Barcelona,,,,,08/21/2020
c1,11018,B1_LR.2,,yes,,,,,,,,,,,,,04/29/2020 15:47
c1,11079,,,yes,,,,4f293de3-7687-4b3e-b75b-d4d8ca150df4,,,,,,,,mm,04/29/2020 12:50
c1,16202,B1_LR.3,,yes,,,,,,,,,,,,,
c1,22971,B1_LR.4,,yes,,,,,,,,,,,,,
c1,61427,B1_LR.5,,yes,,,,,,,,,,,,,
c1,61925,,,yes,,,,,PBsin.6,,,,,,,,04/01/2020 3:15
c1,69053,,,,y,,,,,,,,g22.t1,,,,05/01/2020 10:19
c1,70714,B1_LR.6,,yes,,,,,,,,,,,,,
c1,70963,B1_LR.7,,yes,,,,,,,,,,,,,
c1,78426,B1_LR.8,,yes,,,,,,,,,,,,REVERSE STRAND,
c1,80793,,,yes,,,,,PBsin.8,,,,,,,,
c1,80793,B1_LR.9,YES,yes,,,,,,,,,,,,,
c1,93067,,,y,,,,,,,GHXS01079437.1,,,,,,08/21/2020
c1,94689,B1_LR.10,,yes,,,,,,,,,,,,REVERSE STRAND,
c1,103147,B1_LR.11,,yes,,,,,,,,,,,,,
c1,139714,,,yes,,yes,,89a25b01-58b0-470a-8fde-cd200a3336ba,,,,,,,,FORWARD STRAND,
c1,161275,,,yes,,,,9de12386-b943-4c1c-b455-6a8a560f48be,,,,,,,,,
c1,172846,,,yes,,yes,,fe965e29-8451-48d6-ba1f-d8a1b7d0487b,,,,,,,,mm,
c1,176858,,,y,,,,,,,GHXS01080580.1,,,,,,08/21/2020
c1,186029,,,yes,,,,26381fab-0c31-41fb-8ea3-603daf3cff02,,,,,,,,,
c1,190772,B1_LR.12,,yes,,yes,,,,,,,,,,,
c1,207588,B1_LR.13,,yes,,,,,,,,,,,,,
c1,210501,,,yes,,yes,,,PBsin.17.10,,,,,,,,
c1,219899,B1_LR.14,,yes,,,,,,,,,,,,,
c1,225980,B1_LR.15,y,yes,y,,PB.14.1,,,,,,,,,,
c1,228884,,,yes,y,,"PB.14.3, PB.14.6",,,,,,,,,,04/29/2020 12:50
c1,232501,B1_LR.16,,yes,,,,,,,,,,,,REVERSE STRAND,
c1,233434,B1_LR.17,,yes,,,,,PBsin.17.11,,,,,,,REVERSE STRAND,
c1,238315,B1_LR.18,,yes,,,,,,,,,,,,REVERSE STRAND,
c1,240957,,,y,,,,,,,GHXS01113146.1,,,,,,08/21/2020
c1,244535,,,yes,,,,0f627f55-4223-4f3c-9914-655bd8575cad,,,,,,,,,
c1,246376,,,y,,,,,PBsin.13.1,,,,,,,,
c1,250003,,,y,,,,,PBsin.14.1,,,,,,,,
c1,252196,,,y,,,,f5a776a9-0433-4ecc-95e1-dff4bc7d3052,,,,,,,,,
c1,253308,B1_LR.19,,y,,,,,,,,,,,,,
c1,256841,B1_LR.20,,y,,,,,,,,,,,,,
c1,259961,B1_LR.21,,y,,,,,,,,,,,,,
c1,272881,,,y,,y,,,PBsin.17.63,,,,,,,,
c1,273710,B1_LR.22,,y,,,,,,,,,,,,,
