	h1	h2	keep
Hcv1.1.c8.g176.i1	256	307	h2
Hcv1.1.c1.g1063.i1	324	324	h1
Hcv1.1.c5.g476.i3	434	434	h1
Hcv1.1.c9.g334.i1	167	167	h1
Hcv1.1.c1.g279.i5	73	73	h1
Hcv1.1.c9.g388.i2	833	833	h1
Hcv1.1.c10.g329.i1	195	195	h1
Hcv1.1.c11.g380.i1	775	775	h1
Hcv1.1.c11.g739.i1	1491	1491	h1
Hcv1.1.c8.g779.i2	339	339	h1
Hcv1.1.c1.g1408.i1	262	262	h1
Hcv1.1.c5.g10.i2	998	1001	h2
Hcv1.1.c7.g32.i1	99	99	h1
Hcv1.1.c10.g4.i1	101	101	h1
Hcv1.1.c5.g947.i1	329	329	h1
Hcv1.1.c6.g593.i1	674	674	h1
Hcv1.1.c1.g553.i1	547	547	h1
Hcv1.1.c13.g229.i4	199	199	h1
Hcv1.1.c5.g552.i1	164	164	h1
Hcv1.1.c2.g1311.i1	799	799	h1
Hcv1.1.c7.g218.i1	155	155	h1
Hcv1.1.c8.g639.i1	256	256	h1
Hcv1.1.c3.g257.i1	287	287	h1
Hcv1.1.c1.g249.i4	191	191	h1
Hcv1.1.c4.g540.i4	794	794	h1
Hcv1.1.c3.g1021.i1	211	211	h1
Hcv1.1.c1.g433.i1	578	574	h1
Hcv1.1.c2.g425.i2	364	364	h1
Hcv1.1.c8.g154.i2	433	433	h1
Hcv1.1.c9.g188.i1	385	385	h1
Hcv1.1.c9.g314.i1	271	272	h2
Hcv1.1.c2.g1227.i1	733	733	h1
Hcv1.1.c3.g851.i9	452	452	h1
Hcv1.1.c4.g63.i1	636	636	h1
Hcv1.1.c3.g561.i1	591	591	h1
Hcv1.1.c9.g154.i2	219	219	h1
Hcv1.1.c3.g61.i2	273	273	h1
Hcv1.1.c11.g317.i1	371	369	h1
Hcv1.1.c12.g123.i1	1004	1003	h1
Hcv1.1.c9.g273.i1	384	384	h1
Hcv1.1.c7.g687.i2	353	353	h1
Hcv1.1.c1.g81.i2	818	818	h1
Hcv1.1.c5.g858.i1	469	469	h1
Hcv1.1.c10.g90.i2	177	177	h1
Hcv1.1.c8.g513.i2	544	544	h1
Hcv1.1.c5.g50.i2	176	176	h1
Hcv1.1.c9.g223.i1	1240	1240	h1
Hcv1.1.c9.g295.i2	629	629	h1
Hcv1.1.c9.g234.i2	314	314	h1
Hcv1.1.c4.g458.i1	742	742	h1
Hcv1.1.c10.g159.i1	339	232	h1
Hcv1.1.c1.g556.i1	245	245	h1
Hcv1.1.c2.g689.i1	389	316	h1
Hcv1.1.c8.g78.i1	1621	1622	h2
Hcv1.1.c2.g1366.i1	268	278	h2
Hcv1.1.c4.g586.i2	711	711	h1
Hcv1.1.c5.g696.i1	435	435	h1
Hcv1.1.c8.g166.i5	660	660	h1
Hcv1.1.c8.g378.i1	723	736	h2
Hcv1.1.c9.g697.i2	274	274	h1
Hcv1.1.c10.g112.i11	280	280	h1
Hcv1.1.c12.g50.i3	375	375	h1
Hcv1.1.c4.g653.i2	122	122	h1
Hcv1.1.c3.g206.i2	1103	681	h1
Hcv1.1.c1.g1168.i1	1099	1099	h1
Hcv1.1.c3.g67.i1	243	243	h1
Hcv1.1.c11.g552.i1	555	555	h1
Hcv1.1.c6.g1092.i3	598	558	h1
Hcv1.1.c3.g692.i1	527	527	h1
Hcv1.1.c10.g470.i1	571	574	h2
Hcv1.1.c11.g794.i3	605	596	h1
Hcv1.1.c9.g609.i2	564	564	h1
Hcv1.1.c3.g511.i3	1579	1579	h1
Hcv1.1.c1.g1043.i1	208	249	h2
Hcv1.1.c3.g594.i2	1000	1005	h2
Hcv1.1.c8.g147.i3	154	154	h1
Hcv1.1.c3.g1042.i1	512	513	h2
Hcv1.1.c1.g1233.i1	777	777	h1
Hcv1.1.c11.g116.i1	432	432	h1
Hcv1.1.c7.g16.i1	322	454	h2
Hcv1.1.c7.g267.i1	67	67	h1
Hcv1.1.c10.g140.i1	-1	-1	NO
Hcv1.1.c1.g1486.i1	598	598	h1
Hcv1.1.c13.g367.i1	636	636	h1
Hcv1.1.c10.g569.i1	380	380	h1
Hcv1.1.c13.g344.i1	-1	-1	NO
Hcv1.1.c7.g813.i1	162	162	h1
Hcv1.1.c3.g864.i2	189	189	h1
Hcv1.1.c2.g789.i2	720	721	h2
Hcv1.1.c7.g162.i2	355	180	h1
Hcv1.1.c7.g353.i1	190	190	h1
Hcv1.1.c7.g830.i1	501	501	h1
Hcv1.1.c6.g341.i1	414	414	h1
Hcv1.1.c11.g670.i1	530	530	h1
Hcv1.1.c4.g214.i1	139	139	h1
Hcv1.1.c1.g185.i2	3076	3076	h1
Hcv1.1.c9.g223.i4	496	496	h1
Hcv1.1.c5.g977.i2	2073	1214	h1
Hcv1.1.c3.g325.i2	249	249	h1
Hcv1.1.c2.g299.i1	121	121	h1
Hcv1.1.c4.g179.i1	1889	1891	h2
Hcv1.1.c4.g408.i1	644	644	h1
