chrom	gene	gene_start	gene_stop	surrounding_gene	surrounding_start	surrounding_stop	sense_anti	num_exons
c1	Hcv1.av84.c1.g1009.i1	7116292	7118342	Hcv1.av84.c1.g1008.i1	7114726	7134506	antisense	1
c1	Hcv1.av84.c1.g1010.i1	7118595	7122248	Hcv1.av84.c1.g1008.i1	7114726	7134506	antisense	1
c1	Hcv1.av84.c1.g1011.i1	7129432	7131339	Hcv1.av84.c1.g1008.i1	7114726	7134506	antisense	1
c1	Hcv1.av84.c1.g1012.i1	7136984	7141196	Hcv1.av84.c1.g1008.i1	7136311	7141420	antisense	2
c1	Hcv1.av84.c1.g1019.i1	7202995	7207102	Hcv1.av84.c1.g1017.i1	7202350	7207807	antisense	9
c1	Hcv1.av84.c1.g1019.i1	7202995	7207102	Hcv1.av84.c1.g1017.i2	7202350	7207807	antisense	9
c1	Hcv1.av84.c1.g1033.i1	7301161	7305471	Hcv1.av84.c1.g1032.i1	7299961	7307890	antisense	7
c1	Hcv1.av84.c1.g1033.i1	7301161	7305471	Hcv1.av84.c1.g1032.i2	7299961	7307890	antisense	7
c1	Hcv1.av84.c1.g1033.i1	7301161	7305471	Hcv1.av84.c1.g1032.i3	7299961	7307890	antisense	7
c1	Hcv1.av84.c1.g1033.i1	7301161	7305471	Hcv1.av84.c1.g1032.i4	7299961	7307890	antisense	7
c1	Hcv1.av84.c1.g1034.i1	7319489	7324332	Hcv1.av84.c1.g1032.i1	7318651	7324283	antisense	8
c1	Hcv1.av84.c1.g1034.i1	7319489	7324332	Hcv1.av84.c1.g1032.i2	7307952	7324283	antisense	8
c1	Hcv1.av84.c1.g1034.i1	7319489	7324332	Hcv1.av84.c1.g1032.i3	7307952	7324283	antisense	8
c1	Hcv1.av84.c1.g1034.i1	7319489	7324332	Hcv1.av84.c1.g1032.i4	7307952	7324283	antisense	8
c1	Hcv1.av84.c1.g1034.i2	7319489	7324332	Hcv1.av84.c1.g1032.i1	7318651	7324283	antisense	9
c1	Hcv1.av84.c1.g1034.i2	7319489	7324332	Hcv1.av84.c1.g1032.i2	7307952	7324283	antisense	9
c1	Hcv1.av84.c1.g1034.i2	7319489	7324332	Hcv1.av84.c1.g1032.i3	7307952	7324283	antisense	9
c1	Hcv1.av84.c1.g1034.i2	7319489	7324332	Hcv1.av84.c1.g1032.i4	7307952	7324283	antisense	9
c1	Hcv1.av84.c1.g1034.i3	7319489	7324332	Hcv1.av84.c1.g1032.i1	7318651	7324283	antisense	7
c1	Hcv1.av84.c1.g1034.i3	7319489	7324332	Hcv1.av84.c1.g1032.i2	7307952	7324283	antisense	7
c1	Hcv1.av84.c1.g1034.i3	7319489	7324332	Hcv1.av84.c1.g1032.i3	7307952	7324283	antisense	7
c1	Hcv1.av84.c1.g1034.i3	7319489	7324332	Hcv1.av84.c1.g1032.i4	7307952	7324283	antisense	7
c1	Hcv1.av84.c1.g1041.i1	7338234	7339634	Hcv1.av84.c1.g1040.i1	7337496	7339673	sense	3
c1	Hcv1.av84.c1.g1044.i1	7356086	7358863	Hcv1.av84.c1.g1043.i1	7347518	7373467	sense	6
c1	Hcv1.av84.c1.g1046.i1	7354816	7355959	Hcv1.av84.c1.g1043.i1	7347518	7373467	sense	4
c1	Hcv1.av84.c1.g1061.i1	7453580	7455030	Hcv1.av84.c1.g1060.i1	7452426	7462750	sense	1
c1	Hcv1.av84.c1.g1061.i1	7453580	7455030	Hcv1.av84.c1.g1060.i2	7452426	7462750	sense	1
c1	Hcv1.av84.c1.g1072.i1	7542705	7543829	Hcv1.av84.c1.g1070.i1	7537848	7551920	antisense	1
c1	Hcv1.av84.c1.g1072.i1	7542705	7543829	Hcv1.av84.c1.g1070.i2	7537848	7551920	antisense	1
c1	Hcv1.av84.c1.g1073.i1	7549393	7551897	Hcv1.av84.c1.g1070.i1	7537848	7551920	antisense	2
c1	Hcv1.av84.c1.g1073.i1	7549393	7551897	Hcv1.av84.c1.g1070.i2	7537848	7551920	antisense	2
c1	Hcv1.av84.c1.g1076.i1	7588098	7590471	Hcv1.av84.c1.g1075.i1	7587842	7590639	sense	1
c1	Hcv1.av84.c1.g1080.i1	7613812	7620650	Hcv1.av84.c1.g1079.i1	7610405	7620710	antisense	11
c1	Hcv1.av84.c1.g1081.i1	7623490	7624871	Hcv1.av84.c1.g1079.i1	7620901	7624957	antisense	1
c1	Hcv1.av84.c1.g1083.i1	7633626	7636938	Hcv1.av84.c1.g1082.i1	7632076	7636950	sense	1
c1	Hcv1.av84.c1.g1083.i1	7633626	7636938	Hcv1.av84.c1.g1082.i2	7632076	7636950	sense	1
c1	Hcv1.av84.c1.g1095.i1	7695372	7696335	Hcv1.av84.c1.g1094.i1	7694333	7696485	antisense	1
c1	Hcv1.av84.c1.g11.i1	70963	78309	Hcv1.av84.c1.g10.i1	70909	96170	sense	7
c1	Hcv1.av84.c1.g11.i2	70963	78309	Hcv1.av84.c1.g10.i1	70909	96170	sense	8
