start	stop	chrom	strand	seqname	num_exons
4348	5664	c1	-	Hcv1.av84.c1.g1.i1	1
70714	96207	c1	-	Hcv1.av84.c1.g10.i1	2
881581	890047	c1	-	Hcv1.av84.c1.g100.i1	3
7072980	7085135	c1	-	Hcv1.av84.c1.g1000.i1	13
7089896	7094984	c1	+	Hcv1.av84.c1.g1001.i1	10
7089896	7094984	c1	+	Hcv1.av84.c1.g1001.i2	11
7089896	7094984	c1	+	Hcv1.av84.c1.g1001.i3	11
7099378	7100185	c1	+	Hcv1.av84.c1.g1002.i1	1
7101726	7102533	c1	+	Hcv1.av84.c1.g1003.i1	1
7102792	7103629	c1	+	Hcv1.av84.c1.g1004.i1	1
7103701	7110583	c1	+	Hcv1.av84.c1.g1005.i1	2
7110683	7112104	c1	+	Hcv1.av84.c1.g1006.i1	2
7112169	7114598	c1	+	Hcv1.av84.c1.g1007.i1	3
7112169	7114598	c1	+	Hcv1.av84.c1.g1007.i2	4
7114646	7145081	c1	+	Hcv1.av84.c1.g1008.i1	11
7116292	7118342	c1	-	Hcv1.av84.c1.g1009.i1	1
890470	901226	c1	+	Hcv1.av84.c1.g101.i1	14
7118595	7122248	c1	-	Hcv1.av84.c1.g1010.i1	1
7129432	7131339	c1	-	Hcv1.av84.c1.g1011.i1	1
7136984	7141196	c1	-	Hcv1.av84.c1.g1012.i1	2
7145489	7149824	c1	-	Hcv1.av84.c1.g1013.i1	4
7152295	7155510	c1	+	Hcv1.av84.c1.g1014.i1	2
7154369	7155044	c1	-	Hcv1.av84.c1.g1015.i1	1
7155961	7158081	c1	+	Hcv1.av84.c1.g1016.i1	1
7158155	7210625	c1	+	Hcv1.av84.c1.g1017.i1	11
7158291	7210625	c1	+	Hcv1.av84.c1.g1017.i2	11
7168034	7171452	c1	+	Hcv1.av84.c1.g1018.i1	1
7202995	7207102	c1	-	Hcv1.av84.c1.g1019.i1	9
905361	911627	c1	+	Hcv1.av84.c1.g102.i1	7
908950	911627	c1	+	Hcv1.av84.c1.g102.i2	7
901565	903444	c1	+	Hcv1.av84.c1.g102.i3	2
901577	902581	c1	+	Hcv1.av84.c1.g102.i4	2
903614	911626	c1	+	Hcv1.av84.c1.g102.i5	8
7215060	7215711	c1	+	Hcv1.av84.c1.g1020.i1	3
7217788	7243912	c1	-	Hcv1.av84.c1.g1021.i1	47
7243326	7245254	c1	-	Hcv1.av84.c1.g1022.i1	1
7246980	7248980	c1	+	Hcv1.av84.c1.g1023.i1	1
7249050	7249970	c1	+	Hcv1.av84.c1.g1024.i1	3
7250028	7259248	c1	+	Hcv1.av84.c1.g1025.i1	8
7259310	7260349	c1	+	Hcv1.av84.c1.g1026.i1	2
7259323	7262223	c1	+	Hcv1.av84.c1.g1026.i2	4
7262422	7269169	c1	+	Hcv1.av84.c1.g1027.i1	8
7269226	7270959	c1	+	Hcv1.av84.c1.g1028.i1	4
7271118	7273475	c1	+	Hcv1.av84.c1.g1029.i1	4
911687	912728	c1	+	Hcv1.av84.c1.g103.i1	1
7273679	7275708	c1	+	Hcv1.av84.c1.g1030.i1	1
7275761	7280578	c1	+	Hcv1.av84.c1.g1031.i1	4
7293259	7373501	c1	-	Hcv1.av84.c1.g1032.i1	17
7293259	7373501	c1	-	Hcv1.av84.c1.g1032.i2	15
7293259	7373501	c1	-	Hcv1.av84.c1.g1032.i3	16
7293259	7373501	c1	-	Hcv1.av84.c1.g1032.i4	14
7301161	7305471	c1	+	Hcv1.av84.c1.g1033.i1	7
7319489	7324332	c1	+	Hcv1.av84.c1.g1034.i1	8
7319489	7324332	c1	+	Hcv1.av84.c1.g1034.i2	9
7319489	7324332	c1	+	Hcv1.av84.c1.g1034.i3	7
7326241	7328155	c1	-	Hcv1.av84.c1.g1035.i1	5
7328441	7329866	c1	-	Hcv1.av84.c1.g1036.i1	2
7330798	7333427	c1	-	Hcv1.av84.c1.g1037.i1	7
7333517	7335115	c1	-	Hcv1.av84.c1.g1038.i1	4
7335241	7340158	c1	-	Hcv1.av84.c1.g1039.i1	9
912969	915980	c1	+	Hcv1.av84.c1.g104.i1	7
7337488	7340132	c1	+	Hcv1.av84.c1.g1040.i1	2
7338234	7339634	c1	+	Hcv1.av84.c1.g1041.i1	3
7341524	7344884	c1	+	Hcv1.av84.c1.g1042.i1	7
7344949	7373501	c1	-	Hcv1.av84.c1.g1043.i1	6
7356086	7358863	c1	-	Hcv1.av84.c1.g1044.i1	6
7358862	7373501	c1	-	Hcv1.av84.c1.g1045.i1	9
7354816	7355959	c1	-	Hcv1.av84.c1.g1046.i1	4
7364554	7378647	c1	-	Hcv1.av84.c1.g1047.i1	12
7378753	7380618	c1	-	Hcv1.av84.c1.g1048.i1	1
7384682	7405187	c1	+	Hcv1.av84.c1.g1049.i1	7
916800	919571	c1	-	Hcv1.av84.c1.g105.i1	6
7405766	7409124	c1	-	Hcv1.av84.c1.g1050.i1	9
7405766	7411930	c1	-	Hcv1.av84.c1.g1050.i2	11
