# <don't delete this hash char. this is a comment line.,,,,,ANNOTATIONS HERE - Each column corresponds to one file on github,,,,,,,,,
chromosome,stringtie_id,remove_st,DTS_checked,WRF_checked,spliced_in_intron,isoseq_hq_id,pinfish_id,isoseq_singleton_id,manual,augustus,gene_name,interesting,comment,Timestamp
c1,,,yes,,,,d2a44d46-9637-48b1-a92a-56f50d7cf4f6,,,,,,mm,04/29/2020 12:49
c1,B1_LR.1,y,yes,,,PB.1,,,,,,,,04/29/2020 15:47
c1,B1_LR.2,,yes,,,,,,,,,,,04/29/2020 15:47
c1,,,yes,,,,4f293de3-7687-4b3e-b75b-d4d8ca150df4,,,,,,mm,04/29/2020 12:50
c1,B1_LR.3,,yes,,,,,,,,,,,
c1,B1_LR.4,,yes,,,,,,,,,,,
c1,B1_LR.5,,yes,,,,,,,,,,,
c1,,,yes,,,,,PBsin.6,,,,,,04/01/2020 3:15
c1,,,,y,,,,,,g22.t1,,,,05/01/2020 10:19
c1,B1_LR.6,,yes,,,,,,,,,,,
c1,B1_LR.7,,yes,,,,,,,,,,,
c1,B1_LR.8,,yes,,,,,,,,,,REVERSE STRAND,
c1,,,yes,,,,,PBsin.8,,,,,,
c1,B1_LR.9,YES,yes,,,,,,,,,,,
c1,B1_LR.10,,yes,,,,,,,,,,REVERSE STRAND,
c1,B1_LR.11,,yes,,,,,,,,,,,
c1,,,yes,,yes,,89a25b01-58b0-470a-8fde-cd200a3336ba,,,,,,FORWARD STRAND,
c1,,,yes,,,,9de12386-b943-4c1c-b455-6a8a560f48be,,,,,,,
c1,,,yes,,yes,,fe965e29-8451-48d6-ba1f-d8a1b7d0487b,,,,,,mm,
c1,,,yes,,,,26381fab-0c31-41fb-8ea3-603daf3cff02,,,,,,,
c1,B1_LR.12,,yes,,yes,,,,,,,,,
c1,B1_LR.13,,yes,,,,,,,,,,,
c1,,,yes,,yes,,,PBsin.17.10,,,,,,
c1,B1_LR.14,,yes,,,,,,,,,,,
